rank,artist,album,label,year,review_text
,Car Seat Headrest,Teens of Style,Matador,Staff Lists: Albums of the Year 2015: Honorable Mention," is not technically Car Seat Headrest’s debut, but a greatest hits, a career retrospective, a rarities comp, and a remix album all rolled into one. In the last five years, frontman and band mastermind Will Toledo has been churning out a steady stream of music, recording first in his family car and later in his dorm room at Virginia Commonwealth University. Before signing to Matador Records, he had released via Bandcamp 11 albums of original tunes, an output that approaches that of his hero, Robert Pollard. For his proper debut, Toledo re-recorded 11 older songs, fleshing out fairly skeletal arrangements to create towering monuments to indie rock. The result sounds like both the closing of one door and the opening of another.These songs sprawl in ways they never did before, in ways they never  before, but what’s astonishing is just how much detail and nuance Toledo gets out of the lo-fi setting. His band layers chiming power-pop post-punk guitars, thrumming synths, and intricate Beach Boys harmonies to say something essential about millennial angst. Especially given its lyrical shout-outs to Michael Stipe and Matador Records exec Chris Lombardi, among other insiders, the whole thing could have sounded purely academic—the sound of a young man playing to his record collection. Instead,  explores the ways that our favorite music and our biggest heroes can serve as conduits to the larger world, and Toledo sings like he can’t wait to provide that experience for others. —Stephen M. Deusner
"
,Elysia Crampton,American Drift,Blueberry,Staff Lists: Albums of the Year 2015: Honorable Mention,"Is it cheesy to say that Elysia Crampton’s  feels like the type of art that belongs in a gallery? Unlike most of contemporary music’s quick thrills, this album is a pastiche that seems more in line the work of a super exciting young painter, like , who makes massive portraits of messed-up people, or maybe the kooky set builders , who literally built a meth lab for people to walk around in. Like the most aggressive pursuers of the weirdly beautiful, this heady producer infuses ponderance and pleasure into her work through the simple fact of its literal and spiritual enormity. crushes genres as it piles on disparate elements: Lil Jon samples, cumbia rhythms, deeply reverent freeform poetry. The album’s funkiness is almost secondary to the fun of just listening to its many parts bob and weave through the baseline of electronic ambience. The Bolivian-born artist uses her singular sonic vocabulary to reflect a world that is breathless and difficult while wrestling with the many threads culture creates.  feels like an attempt to illustrate —but instead of boiling the universe down to one complete thought, Crampton sploshes around paint and then scratches at its layers until she’s got a strange and delightful canvas. —Matthew Schnipper
"
,Dâm-Funk,Invite the Light,Stones Throw,Staff Lists: Albums of the Year 2015: Honorable Mention,"Damon Riddick (aka Dâm-Funk) is both a traditionalist and an innovator. On , he enlists a 1970s funk original (Junie Morrison of the Ohio Players), a G-funk hip-hop legend (Snoop Dogg), and a new-age psychedelic eccentric (Ariel Pink) for the same tracklist. It’s all in the name of breaking ground in familiar land. In the lead  for , Riddick caresses a keytar in a smoky room as his refrain turns over on itself: ""We continue."" It's a thesis. Taken at face-value, Dâm-Funk might seem like a revivalist mining a decades old aesthetic, but instead of a carefully executed schtick, his music is revelatory: funk is timeless, and evolving. And he has an inimitable knack for conjuring it up. —Jay Balfour
"
,Dej Loaf,#AndSeeThatsTheThing EP,Columbia,Staff Lists: Albums of the Year 2015: Honorable Mention,"""Damn I’m so little but I’m feeling like Shaquille,"" Dej Loaf raps on the chilly opening to her brisk , and rarely has an artist offered a statement of purpose as efficiently. This is the rare major-label rap debut that delivers on the promise of an Internet phenom without compromise. Radio hit ""Back Up"" with Big Sean churns a Detroit electro sample into a bristling self-affirmation anthem, but it’s the guarded moments of tenderness that linger, from a duet with Future to ""Butterflies"", which is more like a spacey dream-pop ballad than a rap song. Dej is easy to root for because her writing is so forthright and frank, and on this sweet, short EP, she nails her entire dynamic in just six songs. —Matthew Ramirez"
,DJ Paypal,Sold Out,Brainfeeder,Staff Lists: Albums of the Year 2015: Honorable Mention,"If Rimsky-Korsakov’s ""Flight of the Bumblebee"" were a footwork track that was part , part , it would basically be the title track of . Like the rest of DJ Paypal’s mini-album, ""Sold Out"", is a testament to the elasticity of footwork as much as it is to his genius.In November, the Berlin-based, North Carolina-born Teklife producer dropped this EP, his most adventurous and emotionally incisive work to date, as well as first-ever footwork release on Brainfeeder. Throughout the record, DJ Paypal layers in '70s-era soul vocals, twizzling jazz sax lines, chintzy synths, and bubbling . And he makes it sound like he’s beaming it in from an alternate universe, one accessible only to a Chosen Few. On the exuberant-turned-manic ""Slim Trak"", West African tam-tams punch through chants stacked so high they threaten to collapse in on themselves. ""On a Cloud"" sounds like vocoder aliens equipped with arcade lasers and the singular mission to get faded.It's been an important year for footwork, in part because it’s been the first full year without Teklife founder and big brother, DJ Rashad. Many producers   a heightened sense of duty to do right by the man, to work towards fill the gaping hole he left behind. And so, they’ve been turning it out. DJ Paypal, along with his generation of younger footwork peers like Jlin, DJ Earl, DJ Taye, and some of his own tongue-in-cheek Mall Music crew, all dropped EPs or albums this year. Footwork legends RP Boo and DJ Spinn did as well. It’s fitting then that  closes with a track called ""Say Goodbye"", which could easily be read as an adieu to Rashad. It’s an expansive, skies-wide-open track, a shimmery unfurling of memory and longing. —Minna Zhou
"
,DJ Richard,Grind,Dial,Staff Lists: Albums of the Year 2015: Honorable Mention,"DJ Richard’s  is  gone techno. Yes, many of these songs have a consistent beat suitable for dancing (or at least nodding your head), but they just as frequently drift off into the abyss. This is a loose, unhurried album that works best when processed as one clump of electronic music with micro-movements and moods. For example, halfway through the song ""Vampire Dub"", gentle '90s IDM textures are suddenly accompanied by an extremely aggressive drum—the kind of wet, heavy snare a metal band would use—but it only lopes along, a trope of hardness that never turns particularly mean. The drum leaves, comes back, leaves again. It’s like the aural equivalent of someone who has a very important point to make but keeps forgetting it. There’s a beautiful charm to listening to all this unfold. It could have been a messy jumble of thoughts, but instead it’s a sneak peek into a busy, bright brain, working it all out on his own time. —Matthew Schnipper"
,Downtown Boys,Full Communism,Don Giovanni,Staff Lists: Albums of the Year 2015: Honorable Mention,"In concert, Downtown Boys command all of your attention. The Providence, R.I.-based punk sextet is intense, combustible, and overflowing with conviction. It’s risky to check out and gaze at your phone, lest you wind up clobbered by a flailing saxophonist. They have the kind of energy that’s difficult to recreate on a recording—their music is an experience dependent on the band, but also the feedback and presence of an audience. So, it’s a relief that on their debut record, , Downtown Boys still sound and feel like themselves. Recorded at Chicago’s Electrical Audio and produced by the band alongside Don Giovanni label-head, Joe Steinhardt,  documents the band’s raw, weird energy with little in the way of embellishment or refinement. There’s no getting around it: Downtown Boys are an earnest band. But despite their passions, they never register as smarmy. Part of the joy of being a Downtown Boys fan is bearing witness to a group of people with such a level of enthusiasm and conviction—about politics, about noise-making, and about community. Even on their cover of Springsteen’s 30-year-old hit ""Dancing in the Dark"", Downtown Boys seem like they’re 100% in the moment. —Aaron Leitko"
50,Pusha T,My Name Is My Name,Def Jam / GOOD,Staff Lists: The Top 50 Albums of 2013,"At a time in pop music where immediacy counts more than ever, Pusha T’s official debut album got pushed back so many times that it had started to become the rap-world shorthand for a project left to die on the shelf. But instead of becoming a liability, ’s repeated delays ended up becoming an advantage. Pusha’s bluntly unadorned flow has always been best suited to skeletal arrangements (revisit the decade-old “Grindin’” if you need a vivid reminder), so  dropping into the thick of a craze for minimalist rap worked out pretty well for him. As one of the more ardent affiliates of Kanye’s G.O.O.D. Music crew, it’s not surprising that the album shares some of ’ stark sonics, but the beats are more comfortably luxurious. With so much experience working with stripped-down sounds, Pusha has become a master of making a lot out of very little. Push never oversells his songs, but listen through enough times and you start uncovering the wealth of subtle hooks it has hiding in plain sight. —Miles RaymerPusha T: "
49,Julia Holter,Loud City Song,Domino,Staff Lists: The Top 50 Albums of 2013,"""Try to make yourself a work of art/ Like me,"" sang Julia Holter, the experimental L.A. pop singer, on her debut record, the one based on an ancient Greek play. This year's  is the first Holter record to be made outside of her bedroom, but compared to that early sentiment, it feels especially external. The album is based on the 1958 Parisian musical , but was also inspired by Holter's life in the city—it is set distinctly within the context of the urban pastoral, conjuring the ambient noise of a bustling metropolitan area through swarming horns, or images of patrons walking on the streets with a cool-sung cabaret piece.  thus feels big, alive, and more ambitious than anything Holter has done, working with free jazz instrumentation of trombones, strings and double bass to explore a new sense of theatricality. One of her most miraculous talents is how she takes these high concepts and keeps them inviting and unpretentious while still requiring valuable patience and a certain steadiness of mind to appreciate the record as one full, cohesive, and uplifting piece. —Jenn Pelly
"
,A$AP Ferg,Trap Lord,Polo Grounds / RCA,Staff Lists: Albums of the Year: Honorable Mention,"In the second verse of the rain-soaked  ""Fergivicious"", A$AP Ferg shrugs his shoulders and sighs: ""I feel the pain for my bro 'cause his dad died/ My daddy gone too my nigga, that's life."" In Ferg's world, empathy nurtures, but survival dictates you look out for yourself first, even if it requires you to treat your father's death with a brusque matter-of-factness. If that makes the lively  sound like a bummer, it's because Ferg's mixtape-turned-debut album never lets you forget the dark underbelly of the world he came from. ""Hood Pope"" has him making the song cry with a melodic slow flow while ""Cocaine Castle"" echoes with the pained cries of infants, prostitutes on the verge of overdosing, and souls that Beelzebub has ensnared.But Ferg's plenty versatile, so bangers abound too. Breakout hit ""Shabba"" only shines brighter as time passes; ""Lord"" invites Bone Thugs-N-Harmony to a thunderstorm séance, each member trying to resurrect the dead with breathless cadences; even ""4:02"", the sex jam, is suffused with a melancholy that gives it a woozy, uncomfortable quality, as if the walls are slowly closing in. For all its oddities—and  is a album, equal parts homeless-dude prophet-speak and demonic-ritual soundtrack—the spotlight always resides squarely on Ferg, even when guests take center stage. He understands that you can do just as much damage from the sidelines if you get in people's brains. That voice in your head? That's Fergivicious. —Renato Pagnani
"
,Burial,Rival Dealer EP,Hyperdub,Staff Lists: Albums of the Year: Honorable Mention,"This was a strong year for what we once called electronic listening music and it was interesting how many new records came from familiar names that cross over from the experimental community: Tim Hecker, the Field, Julianna Barwick, Boards of Canada, Four Tet. All we needed to round it out was a new Fennesz record—or a new Burial, which we got, last week, in the form of , another stealth 12"" release in what is quietly become a run of classic EPs. Like the aforementioned artists, Burial has an instantly recognizable sound, but it’s shocking how much he has been able to do with it, that he can retain his core vibe and texture while making music that varies wildly in structure and intent.  is typically gorgeous on the surface, with the usual array of ghosted voices, vinyl crackles, ominous synths, and a subtle but powerful sense of melody. But Burial has never sounded this hectic or intense at one end and this lush and meditative on the other, and there’s a deeper emotional undercurrent running beneath.Since the record’s release, Burial’s William Bevan has released a statement that sheds light on sample threads that run through the record, some of which feature quotes about sexual identity and being who you are and rising above. ""I wanted the tunes to be anti-bullying tunes that could maybe help someone to believe in themselves,"" Bevan’s note read, ""to not be afraid, and to not give up, and to know that someone out there cares and is looking out for them.”  is an extended EP of glorious extremes and there in the middle are the listeners, wrapping themselves in sound, living inside Burial’s world for a moment while thinking about the one outside. —Mark RichardsonBurial: "
,Fetty Wap,Fetty Wap,300 Entertainment,Staff Lists: Albums of the Year 2015: Honorable Mention,"No one had the run Fetty Wap had in 2015: After ""Trap Queen"" blew the doors open, he placed three songs simultaneously on the Billboard Hot 100 chart—a rare feat usually associated with established names like Lil Wayne and Eminem—and nabbed  spots on the Billboard Hot Rap Songs chart, an unprecedented accomplishment in the 26-year history of that list. His eponymous  pulls off an equally uncommon task by maintaining the maximal exuberance of those hits for more than an hour. The self-contained record shares a similarity in execution to Waka Flocka Flame’s career-defining 2010 salvo , where the creative spring of a single mind is extracted and bottled for eternity in one full-length package. Fetty’s raps are the perfect alchemy of clumsy and charming, which might be an issue if most of the songs didn’t deliver hooks at this rampant a clip—17 songs with 17 unassailable choruses in a row. Fetty could retire now and he’d still have an all-time run, and an all-time hip-hop debut record to boot. —Matthew Ramirez"
,Girlpool,Before the World Was Big,Wichita,Staff Lists: Albums of the Year 2015: Honorable Mention,"Girlpool's  bursts with the pressure of its own fragility, the duo of bassist Harmony Tividad and guitarist Cleo Tucker singing sweet melodies to each other while steadily plucking at their instruments, harmonizing to the heavens. It's the sound of two best friends navigating uncharted territory, walking down their street ""a hundred million billion trillion times,"" as depicted in the title track. It sounds like learning to cook in your first apartment, or realizing you're the age your parents were when they first met. The best albums are the ones that give way to the creation of a self-contained world, every note in its rightful place. By boiling their songs down to their bare essence, Girlpool have achieved just that. —Cameron Cook
"
